,Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
,Sodapop,1185732,14-01-2021,Northeast,New York,New York,Coca-Cola,$0.50 ,"12,000","$6,000 ","$3,000 ",50%
,Sodapop,1185732,14-01-2021,Northeast,New York,New York,Diet Coke,$0.50 ,"10,000","$5,000 ","$1,500 ",30%
,Sodapop,1185732,14-01-2021,Northeast,New York,New York,Sprite,$0.40 ,"10,000","$4,000 ","$1,400 ",35%
,Sodapop,1185732,14-01-2021,Northeast,New York,New York,Fanta,$0.45 ,"8,500","$3,825 ","$1,339 ",35%
,Sodapop,1185732,14-01-2021,Northeast,New York,New York,Powerade,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
,Sodapop,1185732,14-01-2021,Northeast,New York,New York,Dasani Water,$0.50 ,"10,000","$5,000 ","$1,250 ",25%
,Sodapop,1185732,12-02-2021,Northeast,New York,New York,Coca-Cola,$0.50 ,"12,500","$6,250 ","$3,125 ",50%
,Sodapop,1185732,12-02-2021,Northeast,New York,New York,Diet Coke,$0.50 ,"9,000","$4,500 ","$1,350 ",30%
,Sodapop,1185732,12-02-2021,Northeast,New York,New York,Sprite,$0.40 ,"9,500","$3,800 ","$1,330 ",35%
,Sodapop,1185732,12-02-2021,Northeast,New York,New York,Fanta,$0.45 ,"8,250","$3,713 ","$1,299 ",35%
,Sodapop,1185732,12-02-2021,Northeast,New York,New York,Powerade,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
,Sodapop,1185732,12-02-2021,Northeast,New York,New York,Dasani Water,$0.50 ,"10,000","$5,000 ","$1,250 ",25%
,Sodapop,1185732,10-03-2021,Northeast,New York,New York,Coca-Cola,$0.50 ,"12,200","$6,100 ","$3,050 ",50%
,Sodapop,1185732,10-03-2021,Northeast,New York,New York,Diet Coke,$0.50 ,"9,250","$4,625 ","$1,388 ",30%
,Sodapop,1185732,10-03-2021,Northeast,New York,New York,Sprite,$0.40 ,"9,500","$3,800 ","$1,330 ",35%
,Sodapop,1185732,10-03-2021,Northeast,New York,New York,Fanta,$0.45 ,"8,000","$3,600 ","$1,260 ",35%
,Sodapop,1185732,10-03-2021,Northeast,New York,New York,Powerade,$0.60 ,"8,500","$5,100 ","$1,530 ",30%
,Sodapop,1185732,10-03-2021,Northeast,New York,New York,Dasani Water,$0.50 ,"9,500","$4,750 ","$1,188 ",25%
,Sodapop,1185732,11-04-2021,Northeast,New York,New York,Coca-Cola,$0.50 ,"12,000","$6,000 ","$3,000 ",50%
,Sodapop,1185732,11-04-2021,Northeast,New York,New York,Diet Coke,$0.50 ,"9,000","$4,500 ","$1,350 ",30%
,Sodapop,1185732,11-04-2021,Northeast,New York,New York,Sprite,$0.40 ,"9,000","$3,600 ","$1,260 ",35%
,Sodapop,1185732,11-04-2021,Northeast,New York,New York,Fanta,$0.45 ,"8,250","$3,713 ","$1,299 ",35%
,Sodapop,1185732,11-04-2021,Northeast,New York,New York,Powerade,$0.60 ,"8,250","$4,950 ","$1,485 ",30%
,Sodapop,1185732,11-04-2021,Northeast,New York,New York,Dasani Water,$0.50 ,"9,500","$4,750 ","$1,188 ",25%
,Sodapop,1185732,10-05-2021,Northeast,New York,New York,Coca-Cola,$0.60 ,"12,200","$7,320 ","$3,660 ",50%
,Sodapop,1185732,10-05-2021,Northeast,New York,New York,Diet Coke,$0.55 ,"9,250","$5,088 ","$1,526 ",30%
,Sodapop,1185732,10-05-2021,Northeast,New York,New York,Sprite,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
,Sodapop,1185732,10-05-2021,Northeast,New York,New York,Fanta,$0.50 ,"8,500","$4,250 ","$1,488 ",35%
,Sodapop,1185732,10-05-2021,Northeast,New York,New York,Powerade,$0.60 ,"8,750","$5,250 ","$1,575 ",30%
,Sodapop,1185732,10-05-2021,Northeast,New York,New York,Dasani Water,$0.65 ,"10,000","$6,500 ","$1,625 ",25%
,Sodapop,1185732,12-06-2021,Northeast,New York,New York,Coca-Cola,$0.60 ,"12,500","$7,500 ","$3,750 ",50%
,Sodapop,1185732,12-06-2021,Northeast,New York,New York,Diet Coke,$0.55 ,"10,000","$5,500 ","$1,650 ",30%
,Sodapop,1185732,12-06-2021,Northeast,New York,New York,Sprite,$0.50 ,"9,250","$4,625 ","$1,619 ",35%
,Sodapop,1185732,12-06-2021,Northeast,New York,New York,Fanta,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
,Sodapop,1185732,12-06-2021,Northeast,New York,New York,Powerade,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
,Sodapop,1185732,12-06-2021,Northeast,New York,New York,Dasani Water,$0.65 ,"10,500","$6,825 ","$1,706 ",25%
,Sodapop,1185732,10-07-2021,Northeast,New York,New York,Coca-Cola,$0.60 ,"12,750","$7,650 ","$3,825 ",50%
,Sodapop,1185732,10-07-2021,Northeast,New York,New York,Diet Coke,$0.55 ,"10,250","$5,638 ","$1,691 ",30%
,Sodapop,1185732,10-07-2021,Northeast,New York,New York,Sprite,$0.50 ,"9,500","$4,750 ","$1,663 ",35%
,Sodapop,1185732,10-07-2021,Northeast,New York,New York,Fanta,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
,Sodapop,1185732,10-07-2021,Northeast,New York,New York,Powerade,$0.60 ,"9,250","$5,550 ","$1,665 ",30%
,Sodapop,1185732,10-07-2021,Northeast,New York,New York,Dasani Water,$0.65 ,"11,000","$7,150 ","$1,788 ",25%
,Sodapop,1185732,11-08-2021,Northeast,New York,New York,Coca-Cola,$0.60 ,"12,500","$7,500 ","$3,750 ",50%
,Sodapop,1185732,11-08-2021,Northeast,New York,New York,Diet Coke,$0.55 ,"10,250","$5,638 ","$1,691 ",30%
,Sodapop,1185732,11-08-2021,Northeast,New York,New York,Sprite,$0.50 ,"9,500","$4,750 ","$1,663 ",35%
,Sodapop,1185732,11-08-2021,Northeast,New York,New York,Fanta,$0.50 ,"9,250","$4,625 ","$1,619 ",35%
,Sodapop,1185732,11-08-2021,Northeast,New York,New York,Powerade,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
,Sodapop,1185732,11-08-2021,Northeast,New York,New York,Dasani Water,$0.65 ,"10,750","$6,988 ","$1,747 ",25%
,Sodapop,1185732,10-09-2021,Northeast,New York,New York,Coca-Cola,$0.60 ,"12,000","$7,200 ","$3,600 ",50%
,Sodapop,1185732,10-09-2021,Northeast,New York,New York,Diet Coke,$0.55 ,"10,000","$5,500 ","$1,650 ",30%
,Sodapop,1185732,10-09-2021,Northeast,New York,New York,Sprite,$0.50 ,"9,250","$4,625 ","$1,619 ",35%
,Sodapop,1185732,10-09-2021,Northeast,New York,New York,Fanta,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
,Sodapop,1185732,10-09-2021,Northeast,New York,New York,Powerade,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
,Sodapop,1185732,10-09-2021,Northeast,New York,New York,Dasani Water,$0.65 ,"10,000","$6,500 ","$1,625 ",25%
,Sodapop,1185732,12-10-2021,Northeast,New York,New York,Coca-Cola,$0.65 ,"11,750","$7,638 ","$3,819 ",50%
,Sodapop,1185732,12-10-2021,Northeast,New York,New York,Diet Coke,$0.55 ,"10,000","$5,500 ","$1,650 ",30%
,Sodapop,1185732,12-10-2021,Northeast,New York,New York,Sprite,$0.55 ,"9,000","$4,950 ","$1,733 ",35%
,Sodapop,1185732,12-10-2021,Northeast,New York,New York,Fanta,$0.55 ,"8,750","$4,813 ","$1,684 ",35%
,Sodapop,1185732,12-10-2021,Northeast,New York,New York,Powerade,$0.65 ,"8,750","$5,688 ","$1,706 ",30%
,Sodapop,1185732,12-10-2021,Northeast,New York,New York,Dasani Water,$0.70 ,"10,000","$7,000 ","$1,750 ",25%
,Sodapop,1185732,11-11-2021,Northeast,New York,New York,Coca-Cola,$0.65 ,"11,500","$7,475 ","$3,738 ",50%
,Sodapop,1185732,11-11-2021,Northeast,New York,New York,Diet Coke,$0.55 ,"9,750","$5,363 ","$1,609 ",30%
,Sodapop,1185732,11-11-2021,Northeast,New York,New York,Sprite,$0.55 ,"9,200","$5,060 ","$1,771 ",35%
,Sodapop,1185732,11-11-2021,Northeast,New York,New York,Fanta,$0.55 ,"9,000","$4,950 ","$1,733 ",35%
,Sodapop,1185732,11-11-2021,Northeast,New York,New York,Powerade,$0.65 ,"8,750","$5,688 ","$1,706 ",30%
,Sodapop,1185732,11-11-2021,Northeast,New York,New York,Dasani Water,$0.70 ,"9,750","$6,825 ","$1,706 ",25%
,Sodapop,1185732,10-12-2021,Northeast,New York,New York,Coca-Cola,$0.65 ,"12,000","$7,800 ","$3,900 ",50%
,Sodapop,1185732,10-12-2021,Northeast,New York,New York,Diet Coke,$0.55 ,"10,000","$5,500 ","$1,650 ",30%
,Sodapop,1185732,10-12-2021,Northeast,New York,New York,Sprite,$0.55 ,"9,500","$5,225 ","$1,829 ",35%
,Sodapop,1185732,10-12-2021,Northeast,New York,New York,Fanta,$0.55 ,"9,000","$4,950 ","$1,733 ",35%
,Sodapop,1185732,10-12-2021,Northeast,New York,New York,Powerade,$0.65 ,"9,000","$5,850 ","$1,755 ",30%
,Sodapop,1185732,10-12-2021,Northeast,New York,New York,Dasani Water,$0.70 ,"10,000","$7,000 ","$1,750 ",25%
,BevCo,1197831,02-01-2021,South,Texas,Houston,Coca-Cola,$0.25 ,"9,000","$2,250 ",$788 ,35%
,BevCo,1197831,02-01-2021,South,Texas,Houston,Diet Coke,$0.35 ,"9,000","$3,150 ","$1,103 ",35%
,BevCo,1197831,02-01-2021,South,Texas,Houston,Sprite,$0.35 ,"7,000","$2,450 ",$858 ,35%
,BevCo,1197831,02-01-2021,South,Texas,Houston,Fanta,$0.35 ,"7,000","$2,450 ","$1,103 ",45%
,BevCo,1197831,02-01-2021,South,Texas,Houston,Powerade,$0.40 ,"5,500","$2,200 ",$660 ,30%
,BevCo,1197831,02-01-2021,South,Texas,Houston,Dasani Water,$0.35 ,"7,000","$2,450 ","$1,225 ",50%
,BevCo,1197831,01-02-2021,South,Texas,Houston,Coca-Cola,$0.25 ,"8,500","$2,125 ",$744 ,35%
,BevCo,1197831,01-02-2021,South,Texas,Houston,Diet Coke,$0.35 ,"8,500","$2,975 ","$1,041 ",35%
,BevCo,1197831,01-02-2021,South,Texas,Houston,Sprite,$0.35 ,"6,750","$2,363 ",$827 ,35%
,BevCo,1197831,01-02-2021,South,Texas,Houston,Fanta,$0.35 ,"6,250","$2,188 ",$984 ,45%
,BevCo,1197831,01-02-2021,South,Texas,Houston,Powerade,$0.40 ,"5,000","$2,000 ",$600 ,30%
,BevCo,1197831,01-02-2021,South,Texas,Houston,Dasani Water,$0.35 ,"7,000","$2,450 ","$1,225 ",50%
,BevCo,1197831,03-03-2021,South,Texas,Houston,Coca-Cola,$0.30 ,"8,750","$2,625 ",$919 ,35%
,BevCo,1197831,03-03-2021,South,Texas,Houston,Diet Coke,$0.40 ,"8,750","$3,500 ","$1,225 ",35%
,BevCo,1197831,03-03-2021,South,Texas,Houston,Sprite,$0.35 ,"7,000","$2,450 ",$858 ,35%
,BevCo,1197831,03-03-2021,South,Texas,Houston,Fanta,$0.40 ,"6,000","$2,400 ","$1,080 ",45%
